resource_id,resource_type,title,creator,year,disciplines,technique_tags,skill_level_min,skill_level_max,is_free,price_usd,url,isbn,language,country,description,date_added,last_verified
BK-011,book,Beastmaking,Ned Feehally,2021.0,bouldering|sport,footwork|crimp_grip|slopers|pinches|overhang|strength|finger_training|injury_rehab|periodization|half_crimp|full_crimp|finger_drag|edges|jugs|pockets,intermediate,advanced,False,varies (print/ebook),https://beastmaker.co.uk/products/beastmaking-training-book,978-1839810091,en,USA,Covers technique through finger-strength lens; excellent on overtraining,2026-05-07,2026-05-07
BK-012,book,Better Bouldering (3rd ed.),John Sherman,2017.0,bouldering,footwork|heel_hooks|toe_hooks|knee_bars|drop_knee|flagging|dynamic_movement|mental_game|jugs|gastons|side_pulls,beginner,advanced,False,varies (print/ebook),https://amazon.com/dp/1493029275,978-1493029273,en,USA,Fun & practical; best bouldering-specific movement text,2026-05-07,2026-05-07
BK-013,book,Performance Rock Climbing,Dale Goddard & Udo Neumann,1993.0,sport|bouldering,footwork|flagging|hip_rotation|route_reading|slab|overhang|strength|periodization|jugs|edges|gastons|side_pulls|pockets,intermediate,advanced,False,varies (print/ebook),https://amazon.com/dp/0811722198,978-0811722193,en,USA,Classic; biomechanics chapters still unrivalled despite age,2026-05-07,2026-05-07
BK-014,book,Gimme Kraft!,"Matros, Korb & Huch",2013.0,sport|bouldering,strength|finger_training|periodization|injury_rehab|half_crimp|full_crimp,intermediate,elite,False,varies (print/ebook),https://abebooks.com/9783000423314,978-3000423314,en,Germany,German competition coaching tradition; no-nonsense exercises,2026-05-07,2026-05-07
BK-015,book,Make or Break,Dave MacLeod,2014.0,sport|bouldering|trad,injury_rehab|half_crimp,beginner,elite,False,varies (print/ebook),https://amazon.com/dp/095642811X,978-0956428134,en,UK,Best injury-prevention book for climbers,2026-05-07,2026-05-07
BK-016,book,Sport Climbing: From Top Rope to Redpoint,Andrew Bisharat,2009.0,sport|top_rope,footwork|hip_rotation|route_reading|overhang|lead_falling|mental_game,beginner,intermediate,False,varies (print/ebook),https://amazon.com/dp/1594852707,978-1594852701,en,USA,Accessible intro for indoor-to-outdoor transition,2026-05-07,2026-05-07
BK-017,book,The Trad Climber's Bible,John Long & Peter Croft,2014.0,trad,footwork|crack_climbing|offwidth|gear_placement|anchors|mental_game,intermediate,advanced,False,varies (print/ebook),https://amazon.com/dp/0762787279,978-0762783724,en,USA,Best comprehensive trad reference after Luebben,2026-05-07,2026-05-07
BK-018,book,Rock Climbing: The AMGA Single Pitch Manual,Bob Gaines & Bryan Burdo,2016.0,top_rope|sport,footwork|anchors|gear_placement|lead_falling,intermediate,advanced,False,varies (print/ebook),https://amazon.com/dp/1493015028,978-0762790043,en,USA,Official AMGA curriculum; excellent for coaches/guides,2026-05-07,2026-05-07
BK-019,book,Logical Progression,Steve Bechtel,2015.0,sport|bouldering|trad,strength|periodization|finger_training,intermediate,elite,False,varies (print/ebook),https://climbstrong.com,978-1544119533,en,USA,"Short, dense, highly practical for intermediate climbers",2026-05-07,2026-05-07
BK-020,book,The Climbing Bible,Martin Mobråten & Stian Christophersen,2021.0,bouldering|sport,footwork|heel_hooks|toe_hooks|knee_bars|drop_knee|flagging|hip_rotation|crimp_grip|slopers|pinches|underclings|dynamic_movement|route_reading|slab|overhang|mental_game|lead_falling|strength|finger_training|injury_rehab|periodization|jugs|edges|gastons|side_pulls|half_crimp|full_crimp|finger_drag|pockets,beginner,advanced,False,varies (print/ebook),https://vertebratepublishing.com/products/the-climbing-bible,978-1912560707,en,UK,Modern comprehensive overview; best recent all-round text,2026-05-07,2026-05-07
BK-021,book,Climbing: From Gym to Crag,S. Peter Lewis & Dan Cauthorn,2000.0,top_rope|sport|trad,footwork|hip_rotation|gear_placement|anchors|jugs,beginner,beginner,False,varies (print/ebook),https://amazon.com/dp/0898867460,978-0898866827,en,USA,Best dedicated gym-to-outdoor transition guide,2026-05-07,2026-05-07
BK-022,book,Freedom of the Hills (9th ed.),The Mountaineers,2017.0,trad|top_rope,footwork|gear_placement|anchors|crack_climbing|strength|jugs,beginner,advanced,False,varies (print/ebook),https://mountaineers.org/books/books/mountaineering-the-freedom-of-the-hills-9th-edition,978-1680510041,en,USA,Classic comprehensive reference; Chapter 12–14 on rock technique,2026-05-07,2026-05-07
BK-023,book,Rock Climbing Anchors: A Comprehensive Guide,Craig Luebben,2007.0,top_rope|trad|sport,anchors,intermediate,advanced,False,varies (print/ebook),https://mountaineers.org,978-1594850066,en,USA,Complements Long & Gaines; stronger on removable gear,2026-05-07,2026-05-07
BK-024,book,High Exposure,David Breashears,1999.0,trad,mental_game|route_reading|strength,advanced,advanced,False,varies (print/ebook),https://amazon.com/dp/0684809958,978-0684853612,en,USA,"High Exposure is Breashears solo memoir (foreword by Krakauer). Note: Breashears did co-author ""The Last Climb"" with Audrey Salkeld — different book. Paperback ISBN 978-0684853612; hardcover 978-0684865454.",2026-05-07,2026-05-07
BK-025,book,Smooth: Movement Principles and Techniques for Climbing,Xian Goh,2024.0,bouldering|sport,dynamic_movement|route_reading|jugs|edges|gastons|side_pulls,beginner,intermediate,False,varies (print/ebook),https://amazon.com/dp/1068799307  |  xiangoh.com/smoothhome,978-1068799303,en,USA,"2024 publication; principles-led approach praised by UKClimbing, John Kettle & Women's Climbing Symposium; author is London/Reading coach & former World Cup competitor (8A/8a); Vol 2 covering dynos/deadpoints announced",2026-05-07,2026-05-07
BK-026,book,Climbology: An Innovative Approach to Master Movement,Craig Berman DPT,2023.0,bouldering|sport|top_rope,strength|jugs|edges|gastons|side_pulls,beginner,advanced,False,varies (print/ebook),https://amazon.com/dp/1954040385  |  stores.sharpendbooks.com/climbology,978-1954040380,en,USA,"Movement-mastery focus, not training; authored by climber, dancer & PT Craig Berman DPT; includes free 3-month digital edition trial; fan-favorite at Sharp End Publishing 2023–2024",2026-05-07,2026-05-07
BK-027,book,The Climbing Bible: Practical Exercises,Martin Mobråten & Stian Christophersen,2022.0,bouldering|sport,footwork|heel_hooks|toe_hooks|knee_bars|drop_knee|flagging|hip_rotation|crimp_grip|slopers|pinches|underclings|dynamic_movement|route_reading|slab|overhang|mental_game|lead_falling|strength|finger_training|injury_rehab|periodization|jugs|edges|gastons|side_pulls|half_crimp|full_crimp|pockets,beginner,advanced,False,varies (print/ebook),https://adventurebooks.com/products/the-climbing-bible-practical-exercises,978-1839811043,en,Norway,Companion volume to The Climbing Bible (already in database); works as standalone exercise library; praised by Vertical Life,2026-05-07,2026-05-07
BK-028,book,The Climbing Bible: Managing Injuries,Martin Mobråten & Stian Christophersen + medical contributors,2023.0,all,footwork|heel_hooks|toe_hooks|knee_bars|drop_knee|flagging|hip_rotation|crimp_grip|slopers|pinches|underclings|dynamic_movement|route_reading|slab|overhang|mental_game|lead_falling|strength|finger_training|injury_rehab|periodization|half_crimp,beginner,advanced,False,varies (print/ebook),https://adventurebooks.com/products/the-climbing-bible-managing-injuries,978-1839812002,en,Norway,Third volume in Climbing Bible series; fills the gap between general training books and pure PT texts; referenced by coaches and physiotherapists,2026-05-07,2026-05-07
BK-029,book,Science of Climbing Training,Sergio Consuegra,2024.0,sport|bouldering,strength|half_crimp|full_crimp|finger_drag,intermediate,elite,False,varies (print/ebook),https://amazon.com  (search 'Science of Climbing Training Consuegra'),978-1839811821,en,USA,Amazon Rock Climbing bestseller list #26 (May 2026); evidence-based approach; strong on motor-learning science underpinning technique acquisition,2026-05-07,2026-05-07
BK-030,book,Rock Climbing Technique (John Kettle),John Kettle,2021.0,sport|bouldering|top_rope,footwork|hip_rotation|drop_knee|flagging|route_reading|slab|overhang|jugs|edges|gastons|side_pulls|pockets,beginner,intermediate,False,varies (print/ebook),https://pesdapress.com  |  amazon.com,978-1999654405,en,UK,Kettle is a leading UK coach and IFMGA guide; praised by Xian Goh in Smooth; used in coach education; principles-led approach similar to Smooth,2026-05-07,2026-05-07
YT-001,youtube,Hooper's Beta,Hooper's Beta,,sport|bouldering|all,footwork|heel_hooks|toe_hooks|drop_knee|flagging|hip_rotation|crimp_grip|slopers|pinches|overhang|strength|finger_training|injury_rehab|periodization|edges|gastons|side_pulls|half_crimp|full_crimp,beginner,advanced,True,Free,https://youtube.com/@HoopersBeta,,en,USA,"[website: hoopersbeta.com] [subscribers: ~100k+] Dr Jason Hooper (PT, DPT) + Dan Beall (V15); hybrid PT/technique approach unique in space",2026-05-07,2026-05-07
YT-002,youtube,Lattice Training,Lattice Training,,sport|bouldering|trad,footwork|heel_hooks|toe_hooks|knee_bars|drop_knee|flagging|hip_rotation|crimp_grip|slopers|pinches|dynamic_movement|route_reading|slab|overhang|strength|finger_training|periodization|edges|gastons|side_pulls|half_crimp|full_crimp|finger_drag|pockets,intermediate,advanced,True,Free,https://youtube.com/@LatticeTraining,,en,USA,[website: latticetraining.com] [subscribers: ~150k+] Tom Randall + Ollie Torr + staff; science-based; many benchmark videos,2026-05-07,2026-05-07
YT-003,youtube,Magnus Midtbø,Magnus Midtbø,,sport|bouldering,footwork|heel_hooks|hip_rotation|crimp_grip|slopers|pinches|dynamic_movement|route_reading|overhang|strength|finger_training|jugs,beginner,advanced,True,Free,https://youtube.com/@magmidt,,en,USA,"[website: magnusmidtbo.no] [subscribers: ~3.4M (largest)] Norwegian ex-World Cup competitor; highly watchable; technique cameos from Ondra, MacLeod",2026-05-07,2026-05-07
YT-004,youtube,Adam Ondra,Adam Ondra,,sport|bouldering|trad,footwork|heel_hooks|toe_hooks|drop_knee|flagging|hip_rotation|crimp_grip|pinches|underclings|dynamic_movement|route_reading|overhang|mental_game|strength|gastons|side_pulls,intermediate,advanced,True,Free,https://youtube.com/@AdamOndra,,en,USA,[website: adamondra.com] [subscribers: ~600k+] World's strongest sport climber; 'Tips & Tricks' playlist; Adršpach crack collab,2026-05-07,2026-05-07
YT-005,youtube,Wide Boyz,Wide Boyz,,trad|all|sport,footwork|hip_rotation|underclings|crack_climbing|offwidth|route_reading|gear_placement,beginner,advanced,True,Free,https://youtube.com/@WideBoyz,,en,UK,[website: wideboyz.com] [subscribers: ~220k+] Tom Randall & Pete Whittaker; Century Crack FA; most authoritative crack YouTube,2026-05-07,2026-05-07
YT-006,youtube,Catalyst Climbing (Louis Parkinson),Catalyst Climbing (Louis Parkinson),,bouldering|sport,footwork|heel_hooks|toe_hooks|knee_bars|drop_knee|flagging|hip_rotation|crimp_grip|slopers|pinches|underclings|dynamic_movement|route_reading|slab|overhang|strength|finger_training|periodization|edges|gastons|side_pulls,beginner,advanced,True,Free,https://youtube.com/@CatalystClimbing,,en,UK,[website: catalystclimbing.com] [subscribers: ~180k+] UK-based; collaborates with Neil Gresham; strong beginner playlist and advanced drills,2026-05-07,2026-05-07
YT-007,youtube,Emil Abrahamsson,Emil Abrahamsson,,bouldering|sport,mental_game|strength|finger_training|half_crimp|full_crimp|finger_drag,intermediate,advanced,True,Free,https://youtube.com/@EmilAbrahamsson,,en,USA,[website: youtube.com/@EmilAbrahamsson] [subscribers: ~210k+] 'No Hang Hangboard' video viral (7M+ views); experimental training approach,2026-05-07,2026-05-07
YT-008,youtube,Hannah Morris Bouldering,Hannah Morris Bouldering,,bouldering,footwork|drop_knee|flagging|hip_rotation|route_reading|jugs,beginner,intermediate,True,Free,https://youtube.com/@hannahmorrisbouldering,,en,USA,[website: hannahmorrisbouldering.com] [subscribers: ~160k+] Professional coach; best YouTube channel for absolute beginners; conversational style,2026-05-07,2026-05-07
YT-009,youtube,Movement for Climbers (Siawn Ou),Movement for Climbers (Siawn Ou),,bouldering|all,footwork|heel_hooks|toe_hooks|drop_knee|flagging|hip_rotation|slopers|dynamic_movement|route_reading|slab|overhang|gastons|side_pulls,beginner,intermediate,True,Free,https://youtube.com/@movementforclimbers,,en,USA,[website: movementforclimbers.com] [subscribers: ~120k+] Unique movement-science lens; excellent on kinesthetic awareness,2026-05-07,2026-05-07
YT-010,youtube,Neil Gresham Climbing Masterclass,Neil Gresham Climbing Masterclass,,sport|trad|bouldering,footwork|heel_hooks|drop_knee|flagging|hip_rotation|crimp_grip|slopers|pinches|underclings|route_reading|slab|overhang|mental_game|lead_falling|strength|finger_training|periodization|jugs|edges|gastons|side_pulls|pockets,intermediate,intermediate,True,Free,https://youtube.com/@NeilGreshamClimbingMasterc,,en,UK,[website: neilgresham.com] [subscribers: <20k (authority > size)] Masterclass DVD series now partly on YouTube; Neil coached 3000+ clients; endorsed by IFSC,2026-05-07,2026-05-07
YT-011,youtube,EpicTV Climbing Daily,EpicTV Climbing Daily,,all|trad,footwork|crack_climbing|strength|mental_game|route_reading,beginner,advanced,True,Free,https://youtube.com/@dailyclimbing,,en,USA,[website: epictv.com] [subscribers: ~295k] Previously hosted all Gresham Masterclass content; now curates technique shorts,2026-05-07,2026-05-07
YT-012,youtube,Power Company Climbing,Power Company Climbing,,bouldering|sport,footwork|heel_hooks|toe_hooks|drop_knee|flagging|hip_rotation|crimp_grip|slopers|pinches|dynamic_movement|route_reading|slab|overhang|strength|periodization|edges|gastons|side_pulls,intermediate,advanced,True,Free,https://youtube.com/@PowerCompanyClimbing,,en,USA,[website: powercompanyclimbing.com] [subscribers: ~35k] Kris Hampton's channel; fewer videos but very high-quality technique analysis,2026-05-07,2026-05-07
YT-013,youtube,Mani the Monkey (Manuel Hassler),Mani the Monkey (Manuel Hassler),,bouldering|sport,strength|finger_training|crimp_grip|overhang|periodization|half_crimp|full_crimp,advanced,elite,True,Free,https://youtube.com/@maniclimbs,,en,USA,[website: maniclimbs.com] [subscribers: ~135k] Very high-end; videos show elite-level movement; useful for aspiring hard climbers,2026-05-07,2026-05-07
YT-014,youtube,Dave MacLeod,Dave MacLeod,,trad|bouldering|sport,footwork|heel_hooks|toe_hooks|drop_knee|flagging|hip_rotation|crimp_grip|slopers|pinches|underclings|crack_climbing|dynamic_movement|route_reading|slab|overhang|mental_game|lead_falling|strength|finger_training|injury_rehab|periodization|edges|gastons|side_pulls|half_crimp|full_crimp|finger_drag|pockets,intermediate,advanced,True,Free,https://youtube.com/@davemacleodclimbing,,en,UK,[website: davemacleod.com] [subscribers: ~50k+] Scientific approach; world-class climber (Rhapsody E11 FA); blog+video ecosystem,2026-05-07,2026-05-07
YT-015,youtube,Eric Hörst — Training4Climbing,Eric Hörst — Training4Climbing,,sport|bouldering|trad,strength|half_crimp|full_crimp|finger_drag,beginner,advanced,True,Free,https://youtube.com/@training4climbing,,en,USA,[website: trainingforclimbing.com] [subscribers: <30k (authority > size)] Pioneer of structured climbing training; 35+ years coaching; strong article library,2026-05-07,2026-05-07
YT-016,youtube,Alex Megos,Alex Megos,,sport|bouldering,strength|finger_training|crimp_grip|overhang|route_reading|periodization|half_crimp|full_crimp,advanced,elite,True,Free,https://youtube.com/@AlexMegos,,en,USA,[website: alexmegos.de] [subscribers: ~65k] One of the strongest climbers alive; technique visible in first-ascent breakdowns,2026-05-07,2026-05-07
YT-017,youtube,The Climbing Nomads,The Climbing Nomads,,trad,crack_climbing|gear_placement|anchors|route_reading,beginner,intermediate,True,Free,https://youtube.com/@theclimbingnomads,,en,USA,[website: youtube.com/@theclimbingnomads] [subscribers: ~80k+] Adventure-focused; good intro for aspiring trad climbers; location variety,2026-05-07,2026-05-07
YT-018,youtube,Sender Films (Rock Trip / El Cap),Sender Films (Rock Trip / El Cap),,trad|sport|all,mental_game|route_reading|overhang|strength,beginner,elite,True,Free,https://youtube.com/@senderfilms,,en,USA,[website: senderfilms.com] [subscribers: ~110k] Documentary-style; not instructional but shows world-class technique in context,2026-05-07,2026-05-07
YT-019,youtube,Pete Whittaker Climbing,Pete Whittaker Climbing,,trad|all|sport,crack_climbing|offwidth|gear_placement|finger_training|mental_game,intermediate,advanced,True,Free,https://youtube.com/@PeteWhittakerClimbing,,en,USA,[website: petewhittaker.com] [subscribers: ~30k+] Paired with Wide Boyz channel; more technical and gear-focused solo content,2026-05-07,2026-05-07
YT-020,youtube,Hazel Findlay Climbing,Hazel Findlay Climbing,,trad|sport|bouldering,mental_game,intermediate,advanced,True,Free,https://youtube.com/@HazelFindlay,,en,USA,[website: hazel-findlay.com] [subscribers: ~30k+] MSc Psychology; E9/9a; one of the most credible voices on climbing psychology,2026-05-07,2026-05-07
YT-021,youtube,Charlie Boscoe,Charlie Boscoe,,bouldering|sport,footwork|heel_hooks|hip_rotation|overhang|route_reading|edges,intermediate,advanced,True,Free,https://youtube.com/@charlieboscoe,,en,USA,[website: youtube.com/@charlieboscoe] [subscribers: ~50k+] UK-based; excellent footage of technique on natural rock,2026-05-07,2026-05-07
YT-022,youtube,Brendan Leonard / Semi-Rad,Brendan Leonard / Semi-Rad,,trad|sport|bouldering,mental_game|lead_falling|route_reading,beginner,intermediate,True,Free,https://youtube.com/semiradblog,,en,USA,[website: semi-rad.com] [subscribers: ~15k] Excellent written blog; video content is accessible/funny/authentic for newer climbers,2026-05-07,2026-05-07
YT-023,youtube,Friction Labs Climbing,Friction Labs Climbing,,bouldering|sport,crimp_grip|slopers|pinches|strength|footwork|half_crimp|full_crimp,intermediate,advanced,True,Free,https://youtube.com/@frictionlabsclimbing,,en,USA,[website: frictionlabs.com] [subscribers: ~20k] Chalk brand but produces high-quality technique tutorials featuring top athletes,2026-05-07,2026-05-07
YT-024,youtube,So iLL Climbing,So iLL Climbing,,bouldering|sport,footwork|hip_rotation|crimp_grip|overhang|jugs,beginner,intermediate,True,Free,https://youtube.com/@soILLclimbing,,en,USA,[website: soillclimbs.com] [subscribers: ~25k] Gear brand channel; solid how-to library for gym climbers,2026-05-07,2026-05-07
YT-025,youtube,REI Co-op — Rock Climbing,REI Co-op — Rock Climbing,,top_rope|sport|trad,footwork|hip_rotation|anchors|gear_placement|jugs,beginner,beginner,True,Free,https://youtube.com/user/REI,,en,USA,[website: rei.com/learn/expert-advice/rock-climbing] [subscribers: >500k (broad channel)] REI's expert-advice section; not deep but very good for absolute beginners,2026-05-07,2026-05-07
CR-001,course,Dave MacLeod's Climbing Technique Course,Dave MacLeod,,bouldering|sport|trad,footwork|drop_knee|flagging|hip_rotation|crimp_grip|slopers|route_reading|slab|overhang|mental_game|strength|periodization|jugs|edges|gastons|side_pulls|pockets,intermediate,advanced,False,$179 one-off (or 3×$69),https://altitudeclimbing.com/davemacleod,,en,UK,[platform: Altitude Climbing] [access: Lifetime access] Best all-round online technique course; by E11 climber & sports scientist,2026-05-07,2026-05-07
CR-002,course,Bouldering Blueprint,Magnus Midtbø,,sport,footwork|drop_knee|flagging|hip_rotation|crimp_grip|route_reading|finger_training|jugs|gastons|side_pulls,beginner,intermediate,False,~$179 one-off,https://altitudeclimbing.com/bouldering-blueprint-evergreen-signup,,en,USA,[platform: Altitude Climbing] [access: Lifetime access] Engaging; Midtbø's personality makes it accessible for beginners,2026-05-07,2026-05-07
CR-003,course,Overcome Fear of Falling,Hazel Findlay,,sport|bouldering|top_rope|trad,mental_game|lead_falling,beginner,elite,False,~$179 one-off,https://altitudeclimbing.com/fear-falling-evergreen-signup,,en,USA,[platform: Altitude Climbing / Strong Mind Climbing] [access: Lifetime access] Hazel holds MSc Psychology; best fear-of-falling course available,2026-05-07,2026-05-07
CR-004,course,Lattice Training Plans — LatticePlan,Tom Randall + Ollie Torr,,bouldering|sport|trad,footwork|heel_hooks|toe_hooks|knee_bars|drop_knee|flagging|hip_rotation|crimp_grip|slopers|pinches|dynamic_movement|route_reading|slab|overhang|strength|finger_training|periodization|edges|gastons|side_pulls|half_crimp|full_crimp|finger_drag|pockets,beginner,elite,False,$29.99/mo or $149.99/yr,https://latticetraining.com/latticeplan,,en,USA,[platform: Lattice Training App] [access: Subscription] App-based; 20+ plan options; integrates with Crimpd,2026-05-07,2026-05-07
CR-005,course,Crimpd / Crimpd+ App,Lattice coaches + athletes,,bouldering|sport,crimp_grip|strength|half_crimp|full_crimp|finger_drag,beginner,elite,False,Free tier; ~$5–7/mo for Crimpd+,https://crimpd.com,,en,USA,[platform: Crimpd (Lattice-linked)] [access: Subscription] Most comprehensive training app; free tier is genuinely useful,2026-05-07,2026-05-07
CR-006,course,Power Company Proven Plans,Kris Hampton + coaches,,bouldering|sport,strength|half_crimp|full_crimp,beginner,beginner,False,$25–35 (ebooks); $150–325 (custom plans),https://powercompanyclimbing.com/proven-plans,,en,USA,[platform: Power Company Climbing App] [access: One-off / Custom] Grade-specific tracks; excellent movement-practice library,2026-05-07,2026-05-07
CR-007,course,Wide Boyz Global Crack School,Tom Randall & Pete Whittaker,,trad,footwork|hip_rotation|underclings|crack_climbing|offwidth|route_reading|gear_placement,beginner,elite,False,Several hundred USD (periodic enrolment),https://wideboyz.school,,en,UK,[platform: wideboyz.school] [access: Lifetime] Definitive online crack resource; limited enrolment windows,2026-05-07,2026-05-07
CR-008,course,Hooper's Beta Recovery Blueprint,Dr. Jason Hooper + Dan Beall,,all,footwork|heel_hooks|toe_hooks|drop_knee|flagging|hip_rotation|crimp_grip|slopers|pinches|overhang|strength|finger_training|injury_rehab|periodization|half_crimp|full_crimp|finger_drag,beginner,elite,False,Tiered subscription via Everfit,https://hoopersbeta.com/recoveryblueprint,,en,USA,[platform: hoopersbeta.com + Everfit] [access: Subscription] Best injury-prevention+movement hybrid program online,2026-05-07,2026-05-07
CR-009,course,The Climbing Doctor — Rock Rehab Pyramid Videos,Dr. Jared Vagy DPT,,all,footwork|drop_knee|flagging|hip_rotation|crimp_grip|dynamic_movement|overhang|strength|finger_training|injury_rehab|half_crimp|full_crimp|finger_drag,beginner,advanced,False,~$60–80 (videos); CE courses $250–900,https://theclimbingdoctor.com/rock-rehab-pyramid-programs,,en,USA,[platform: theclimbingdoctor.com] [access: One-off / CE] PT-clinical quality; endorsed by IFSC medical commission,2026-05-07,2026-05-07
CR-010,course,TrainingBeta Route & Bouldering Programs,Kris Peters + Neely Quinn,,sport|bouldering,footwork|heel_hooks|drop_knee|flagging|hip_rotation|crimp_grip|slopers|route_reading|slab|overhang|mental_game|strength|finger_training|injury_rehab|periodization|gastons|side_pulls|half_crimp|full_crimp,beginner,advanced,False,$18/mo (subscriber); ~$27/mo standard; 7-day free trial,https://trainingbeta.com/route-climbing-training-program,,en,USA,[platform: trainingbeta.com] [access: Subscription] Long-running trusted platform; podcast companion free,2026-05-07,2026-05-07
CR-011,course,Climb Strong Self-Guided Programs,Steve Bechtel,,bouldering|sport|trad,periodization,beginner,elite,False,Ebooks $25–50; tiered plans low-$100s,https://climbstrong.com,,en,USA,[platform: climbstrong.com] [access: One-off / Tiered] Bechtel's 'less is more' philosophy; works well for busy adults,2026-05-07,2026-05-07
CR-012,course,Catalyst Online Squad,Louis Parkinson + Neil Gresham,,bouldering|sport,footwork|drop_knee|flagging|dynamic_movement|crimp_grip|finger_training|strength|periodization|gastons|side_pulls,beginner,advanced,False,£2.99/mo (YouTube tier); full platform ~£2.50/wk,https://online.catalystclimbing.com,,en,UK,[platform: online.catalystclimbing.com] [access: Subscription] Good value; access to two elite coaches simultaneously,2026-05-07,2026-05-07
CR-013,course,Neil Gresham Personalised Plans + Masterclass DVDs,Neil Gresham,,sport|trad|bouldering,footwork|heel_hooks|drop_knee|flagging|hip_rotation|crimp_grip|slopers|pinches|underclings|route_reading|slab|overhang|mental_game|lead_falling|strength|finger_training|periodization|jugs|edges|gastons|side_pulls|pockets,intermediate,intermediate,False,Plans by quote; DVDs £15–25; group masterclasses ~£45/90 min,https://neilgresham.com/coaching-and-training/masterclass-dvds,,en,UK,[platform: neilgresham.com] [access: One-off / Custom] 3000+ verified clients; most experienced UK technique coach,2026-05-07,2026-05-07
