resource_id,resource_type,title,creator,year,disciplines,technique_tags,skill_level_min,skill_level_max,is_free,price_usd,url,isbn,language,country,description,date_added,last_verified
BK-011,book,Beastmaking,Ned Feehally,2021.0,bouldering|sport,footwork|crimp_grip|slopers|pinches|overhang|strength|finger_training|injury_rehab|periodization|half_crimp|full_crimp|finger_drag|edges|jugs|pockets,intermediate,advanced,False,varies (print/ebook),https://beastmaker.co.uk/products/beastmaking-training-book,978-1839810091,en,USA,Covers technique through finger-strength lens; excellent on overtraining,2026-05-07,2026-05-07
BK-012,book,Better Bouldering (3rd ed.),John Sherman,2017.0,bouldering,footwork|heel_hooks|toe_hooks|knee_bars|drop_knee|flagging|dynamic_movement|mental_game|jugs|gastons|side_pulls,beginner,advanced,False,varies (print/ebook),https://amazon.com/dp/1493029275,978-1493029273,en,USA,Fun & practical; best bouldering-specific movement text,2026-05-07,2026-05-07
BK-013,book,Performance Rock Climbing,Dale Goddard & Udo Neumann,1993.0,sport|bouldering,footwork|flagging|hip_rotation|route_reading|slab|overhang|strength|periodization|jugs|edges|gastons|side_pulls|pockets,intermediate,advanced,False,varies (print/ebook),https://amazon.com/dp/0811722198,978-0811722193,en,USA,Classic; biomechanics chapters still unrivalled despite age,2026-05-07,2026-05-07
BK-014,book,Gimme Kraft!,"Matros, Korb & Huch",2013.0,sport|bouldering,strength|finger_training|periodization|injury_rehab|half_crimp|full_crimp,intermediate,elite,False,varies (print/ebook),https://abebooks.com/9783000423314,978-3000423314,en,Germany,German competition coaching tradition; no-nonsense exercises,2026-05-07,2026-05-07
BK-015,book,Make or Break,Dave MacLeod,2014.0,sport|bouldering|trad,injury_rehab|half_crimp,beginner,elite,False,varies (print/ebook),https://amazon.com/dp/095642811X,978-0956428134,en,UK,Best injury-prevention book for climbers,2026-05-07,2026-05-07
BK-016,book,Sport Climbing: From Top Rope to Redpoint,Andrew Bisharat,2009.0,sport|top_rope,footwork|hip_rotation|route_reading|overhang|lead_falling|mental_game,beginner,intermediate,False,varies (print/ebook),https://amazon.com/dp/1594852707,978-1594852701,en,USA,Accessible intro for indoor-to-outdoor transition,2026-05-07,2026-05-07
BK-017,book,The Trad Climber's Bible,John Long & Peter Croft,2014.0,trad,footwork|crack_climbing|offwidth|gear_placement|anchors|mental_game,intermediate,advanced,False,varies (print/ebook),https://amazon.com/dp/0762787279,978-0762783724,en,USA,Best comprehensive trad reference after Luebben,2026-05-07,2026-05-07
BK-018,book,Rock Climbing: The AMGA Single Pitch Manual,Bob Gaines & Bryan Burdo,2016.0,top_rope|sport,footwork|anchors|gear_placement|lead_falling,intermediate,advanced,False,varies (print/ebook),https://amazon.com/dp/1493015028,978-0762790043,en,USA,Official AMGA curriculum; excellent for coaches/guides,2026-05-07,2026-05-07
BK-019,book,Logical Progression,Steve Bechtel,2015.0,sport|bouldering|trad,strength|periodization|finger_training,intermediate,elite,False,varies (print/ebook),https://climbstrong.com,978-1544119533,en,USA,"Short, dense, highly practical for intermediate climbers",2026-05-07,2026-05-07
BK-020,book,The Climbing Bible,Martin Mobråten & Stian Christophersen,2021.0,bouldering|sport,footwork|heel_hooks|toe_hooks|knee_bars|drop_knee|flagging|hip_rotation|crimp_grip|slopers|pinches|underclings|dynamic_movement|route_reading|slab|overhang|mental_game|lead_falling|strength|finger_training|injury_rehab|periodization|jugs|edges|gastons|side_pulls|half_crimp|full_crimp|finger_drag|pockets,beginner,advanced,False,varies (print/ebook),https://vertebratepublishing.com/products/the-climbing-bible,978-1912560707,en,UK,Modern comprehensive overview; best recent all-round text,2026-05-07,2026-05-07
BK-021,book,Climbing: From Gym to Crag,S. Peter Lewis & Dan Cauthorn,2000.0,top_rope|sport|trad,footwork|hip_rotation|gear_placement|anchors|jugs,beginner,beginner,False,varies (print/ebook),https://amazon.com/dp/0898867460,978-0898866827,en,USA,Best dedicated gym-to-outdoor transition guide,2026-05-07,2026-05-07
BK-022,book,Freedom of the Hills (9th ed.),The Mountaineers,2017.0,trad|top_rope,footwork|gear_placement|anchors|crack_climbing|strength|jugs,beginner,advanced,False,varies (print/ebook),https://mountaineers.org/books/books/mountaineering-the-freedom-of-the-hills-9th-edition,978-1680510041,en,USA,Classic comprehensive reference; Chapter 12–14 on rock technique,2026-05-07,2026-05-07
BK-023,book,Rock Climbing Anchors: A Comprehensive Guide,Craig Luebben,2007.0,top_rope|trad|sport,anchors,intermediate,advanced,False,varies (print/ebook),https://mountaineers.org,978-1594850066,en,USA,Complements Long & Gaines; stronger on removable gear,2026-05-07,2026-05-07
BK-024,book,High Exposure,David Breashears,1999.0,trad,mental_game|route_reading|strength,advanced,advanced,False,varies (print/ebook),https://amazon.com/dp/0684809958,978-0684853612,en,USA,"High Exposure is Breashears solo memoir (foreword by Krakauer). Note: Breashears did co-author ""The Last Climb"" with Audrey Salkeld — different book. Paperback ISBN 978-0684853612; hardcover 978-0684865454.",2026-05-07,2026-05-07
BK-025,book,Smooth: Movement Principles and Techniques for Climbing,Xian Goh,2024.0,bouldering|sport,dynamic_movement|route_reading|jugs|edges|gastons|side_pulls,beginner,intermediate,False,varies (print/ebook),https://amazon.com/dp/1068799307  |  xiangoh.com/smoothhome,978-1068799303,en,USA,"2024 publication; principles-led approach praised by UKClimbing, John Kettle & Women's Climbing Symposium; author is London/Reading coach & former World Cup competitor (8A/8a); Vol 2 covering dynos/deadpoints announced",2026-05-07,2026-05-07
BK-026,book,Climbology: An Innovative Approach to Master Movement,Craig Berman DPT,2023.0,bouldering|sport|top_rope,strength|jugs|edges|gastons|side_pulls,beginner,advanced,False,varies (print/ebook),https://amazon.com/dp/1954040385  |  stores.sharpendbooks.com/climbology,978-1954040380,en,USA,"Movement-mastery focus, not training; authored by climber, dancer & PT Craig Berman DPT; includes free 3-month digital edition trial; fan-favorite at Sharp End Publishing 2023–2024",2026-05-07,2026-05-07
BK-027,book,The Climbing Bible: Practical Exercises,Martin Mobråten & Stian Christophersen,2022.0,bouldering|sport,footwork|heel_hooks|toe_hooks|knee_bars|drop_knee|flagging|hip_rotation|crimp_grip|slopers|pinches|underclings|dynamic_movement|route_reading|slab|overhang|mental_game|lead_falling|strength|finger_training|injury_rehab|periodization|jugs|edges|gastons|side_pulls|half_crimp|full_crimp|pockets,beginner,advanced,False,varies (print/ebook),https://adventurebooks.com/products/the-climbing-bible-practical-exercises,978-1839811043,en,Norway,Companion volume to The Climbing Bible (already in database); works as standalone exercise library; praised by Vertical Life,2026-05-07,2026-05-07
BK-028,book,The Climbing Bible: Managing Injuries,Martin Mobråten & Stian Christophersen + medical contributors,2023.0,all,footwork|heel_hooks|toe_hooks|knee_bars|drop_knee|flagging|hip_rotation|crimp_grip|slopers|pinches|underclings|dynamic_movement|route_reading|slab|overhang|mental_game|lead_falling|strength|finger_training|injury_rehab|periodization|half_crimp,beginner,advanced,False,varies (print/ebook),https://adventurebooks.com/products/the-climbing-bible-managing-injuries,978-1839812002,en,Norway,Third volume in Climbing Bible series; fills the gap between general training books and pure PT texts; referenced by coaches and physiotherapists,2026-05-07,2026-05-07
BK-029,book,Science of Climbing Training,Sergio Consuegra,2024.0,sport|bouldering,strength|half_crimp|full_crimp|finger_drag,intermediate,elite,False,varies (print/ebook),https://amazon.com  (search 'Science of Climbing Training Consuegra'),978-1839811821,en,USA,Amazon Rock Climbing bestseller list #26 (May 2026); evidence-based approach; strong on motor-learning science underpinning technique acquisition,2026-05-07,2026-05-07
BK-030,book,Rock Climbing Technique (John Kettle),John Kettle,2021.0,sport|bouldering|top_rope,footwork|hip_rotation|drop_knee|flagging|route_reading|slab|overhang|jugs|edges|gastons|side_pulls|pockets,beginner,intermediate,False,varies (print/ebook),https://pesdapress.com  |  amazon.com,978-1999654405,en,UK,Kettle is a leading UK coach and IFMGA guide; praised by Xian Goh in Smooth; used in coach education; principles-led approach similar to Smooth,2026-05-07,2026-05-07
